FID	IID	POP	REG	myREG	Color	PCH
0	HG00096	gbr	eur	European	green	16
0	HG00097	gbr	eur	European	green	16
0	HG00099	gbr	eur	European	green	16
0	HG00100	gbr	eur	European	green	16
0	HG00101	gbr	eur	European	green	16
0	HG00102	gbr	eur	European	green	16
0	HG00103	gbr	eur	European	green	16
0	HG00105	gbr	eur	European	green	16
0	HG00106	gbr	eur	European	green	16
0	HG00107	gbr	eur	European	green	16
0	HG00108	gbr	eur	European	green	16
0	HG00109	gbr	eur	European	green	16
0	HG00110	gbr	eur	European	green	16
0	HG00111	gbr	eur	European	green	16
0	HG00112	gbr	eur	European	green	16
0	HG00113	gbr	eur	European	green	16
0	HG00114	gbr	eur	European	green	16
0	HG00115	gbr	eur	European	green	16
0	HG00116	gbr	eur	European	green	16
0	HG00117	gbr	eur	European	green	16
0	HG00118	gbr	eur	European	green	16
0	HG00119	gbr	eur	European	green	16
0	HG00120	gbr	eur	European	green	16
0	HG00121	gbr	eur	European	green	16
0	HG00122	gbr	eur	European	green	16
0	HG00123	gbr	eur	European	green	16
0	HG00125	gbr	eur	European	green	16
0	HG00126	gbr	eur	European	green	16
0	HG00127	gbr	eur	European	green	16
0	HG00128	gbr	eur	European	green	16
0	HG00129	gbr	eur	European	green	16
0	HG00130	gbr	eur	European	green	16
0	HG00131	gbr	eur	European	green	16
0	HG00132	gbr	eur	European	green	16
0	HG00133	gbr	eur	European	green	16
0	HG00136	gbr	eur	European	green	16
0	HG00137	gbr	eur	European	green	16
0	HG00138	gbr	eur	European	green	16
0	HG00139	gbr	eur	European	green	16
0	HG00140	gbr	eur	European	green	16
0	HG00141	gbr	eur	European	green	16
0	HG00142	gbr	eur	European	green	16
0	HG00143	gbr	eur	European	green	16
0	HG00145	gbr	eur	European	green	16
0	HG00146	gbr	eur	European	green	16
0	HG00148	gbr	eur	European	green	16
0	HG00149	gbr	eur	European	green	16
0	HG00150	gbr	eur	European	green	16
0	HG00151	gbr	eur	European	green	16
0	HG00155	gbr	eur	European	green	16
0	HG00157	gbr	eur	European	green	16
0	HG00158	gbr	eur	European	green	16
0	HG00159	gbr	eur	European	green	16
0	HG00160	gbr	eur	European	green	16
0	HG00171	fin	eur	European	green	16
0	HG00173	fin	eur	European	green	16
0	HG00174	fin	eur	European	green	16
0	HG00176	fin	eur	European	green	16
0	HG00177	fin	eur	European	green	16
0	HG00178	fin	eur	European	green	16
0	HG00179	fin	eur	European	green	16
0	HG00180	fin	eur	European	green	16
0	HG00182	fin	eur	European	green	16
0	HG00183	fin	eur	European	green	16
0	HG00185	fin	eur	European	green	16
0	HG00186	fin	eur	European	green	16
0	HG00187	fin	eur	European	green	16
0	HG00188	fin	eur	European	green	16
0	HG00189	fin	eur	European	green	16
0	HG00190	fin	eur	European	green	16
0	HG00231	gbr	eur	European	green	16
0	HG00232	gbr	eur	European	green	16
0	HG00233	gbr	eur	European	green	16
0	HG00234	gbr	eur	European	green	16
0	HG00235	gbr	eur	European	green	16
0	HG00236	gbr	eur	European	green	16
0	HG00237	gbr	eur	European	green	16
0	HG00238	gbr	eur	European	green	16
0	HG00239	gbr	eur	European	green	16
0	HG00240	gbr	eur	European	green	16
0	HG00242	gbr	eur	European	green	16
0	HG00243	gbr	eur	European	green	16
0	HG00244	gbr	eur	European	green	16
0	HG00245	gbr	eur	European	green	16
0	HG00246	gbr	eur	European	green	16
0	HG00250	gbr	eur	European	green	16
0	HG00251	gbr	eur	European	green	16
0	HG00252	gbr	eur	European	green	16
0	HG00253	gbr	eur	European	green	16
0	HG00254	gbr	eur	European	green	16
0	HG00255	gbr	eur	European	green	16
0	HG00256	gbr	eur	European	green	16
0	HG00257	gbr	eur	European	green	16
0	HG00258	gbr	eur	European	green	16
0	HG00259	gbr	eur	European	green	16
0	HG00260	gbr	eur	European	green	16
0	HG00261	gbr	eur	European	green	16
0	HG00262	gbr	eur	European	green	16
0	HG00263	gbr	eur	European	green	16
0	HG00264	gbr	eur	European	green	16
0	HG00265	gbr	eur	European	green	16
0	HG00266	fin	eur	European	green	16
0	HG00267	fin	eur	European	green	16
0	HG00268	fin	eur	European	green	16
0	HG00269	fin	eur	European	green	16
0	HG00271	fin	eur	European	green	16
0	HG00272	fin	eur	European	green	16
0	HG00273	fin	eur	European	green	16
0	HG00274	fin	eur	European	green	16
0	HG00275	fin	eur	European	green	16
0	HG00276	fin	eur	European	green	16
0	HG00278	fin	eur	European	green	16
0	HG00280	fin	eur	European	green	16
0	HG00281	fin	eur	European	green	16
0	HG00282	fin	eur	European	green	16
0	HG00284	fin	eur	European	green	16
0	HG00285	fin	eur	European	green	16
0	HG00288	fin	eur	European	green	16
0	HG00290	fin	eur	European	green	16
0	HG00304	fin	eur	European	green	16
0	HG00306	fin	eur	European	green	16
0	HG00308	fin	eur	European	green	16
0	HG00309	fin	eur	European	green	16
0	HG00310	fin	eur	European	green	16
0	HG00311	fin	eur	European	green	16
0	HG00313	fin	eur	European	green	16
0	HG00315	fin	eur	European	green	16
0	HG00318	fin	eur	European	green	16
0	HG00319	fin	eur	European	green	16
0	HG00320	fin	eur	European	green	16
0	HG00321	fin	eur	European	green	16
0	HG00323	fin	eur	European	green	16
0	HG00324	fin	eur	European	green	16
0	HG00325	fin	eur	European	green	16
0	HG00326	fin	eur	European	green	16
0	HG00327	fin	eur	European	green	16
0	HG00328	fin	eur	European	green	16
0	HG00329	fin	eur	European	green	16
0	HG00330	fin	eur	European	green	16
0	HG00331	fin	eur	European	green	16
0	HG00332	fin	eur	European	green	16
0	HG00334	fin	eur	European	green	16
0	HG00335	fin	eur	European	green	16
0	HG00336	fin	eur	European	green	16
0	HG00337	fin	eur	European	green	16
0	HG00338	fin	eur	European	green	16
0	HG00339	fin	eur	European	green	16
0	HG00342	fin	eur	European	green	16
0	HG00343	fin	eur	European	green	16
0	HG00345	fin	eur	European	green	16
0	HG00346	fin	eur	European	green	16
0	HG00349	fin	eur	European	green	16
0	HG00351	fin	eur	European	green	16
0	HG00353	fin	eur	European	green	16
0	HG00355	fin	eur	European	green	16
0	HG00356	fin	eur	European	green	16
0	HG00357	fin	eur	European	green	16
0	HG00358	fin	eur	European	green	16
0	HG00360	fin	eur	European	green	16
0	HG00362	fin	eur	European	green	16
0	HG00364	fin	eur	European	green	16
0	HG00365	fin	eur	European	green	16
0	HG00366	fin	eur	European	green	16
0	HG00367	fin	eur	European	green	16
0	HG00368	fin	eur	European	green	16
0	HG00369	fin	eur	European	green	16
0	HG00371	fin	eur	European	green	16
0	HG00372	fin	eur	European	green	16
0	HG00373	fin	eur	European	green	16
0	HG00375	fin	eur	European	green	16
0	HG00376	fin	eur	European	green	16
0	HG00378	fin	eur	European	green	16
0	HG00379	fin	eur	European	green	16
0	HG00381	fin	eur	European	green	16
0	HG00382	fin	eur	European	green	16
0	HG00383	fin	eur	European	green	16
0	HG00384	fin	eur	European	green	16
0	HG00404	chs	eas	East Asia	yellow3	16
