folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
6585350e-3309-45f3-882a-3383ae9b598a	SRR11798388	SRR11798388_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:3
a2ffabb8-0e63-49fb-af25-224557927d42	SRR11798323	SRR11798323_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:15:H7K3FDMXX:2
a0d61b5f-3729-4fc0-bc0e-a5073837c5d5	SRR11798394	SRR11798394_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:4
8e698f51-b261-4368-8d62-344b17685ba2	SRR11798386	SRR11798386_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:1
f1f0b5b6-9734-4da3-b1cc-ab7d8f8b8718	SRR11798402	SRR11798402_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:1
548db57f-ff04-4283-b8cd-9d0f0bc0c810	SRR11798279	SRR11798279_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_25	K00208:YBP053:2
5edd2793-6c35-4a2a-aa5d-f27748fa5808	SRR11798320	SRR11798320_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:1
ab5558cb-50f9-4937-9f45-72924336b4ac	SRR11798408	SRR11798408_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:2
a12c0b58-74b7-4a16-8c97-737c2c5dd7dc	SRR11798409	SRR11798409_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:3
88b4740c-f73e-4fa9-9995-d234200fe15f	SRR11798398	SRR11798398_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:4
9a2c1049-0c87-4f2a-8e90-ef1c9dc8c349	SRR11798456	SRR11798456_LB	ILLUMINA	10X3v2	NextSeq500	ND16737_ALI	NB502093:47:HFLFMBGX9:2
269af9d6-c123-41af-8559-d9adec0c1791	SRR11798367	SRR11798367_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:2
ff393761-ce7c-447b-b858-1d2b4eccbdde	SRR11798282	SRR11798282_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_30	K00208:YBP053:2
22de449e-9401-439f-88b5-c8ccd51b8f0f	SRR11798349	SRR11798349_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:3
67a2c67b-8cfc-4660-9a51-1815bd7eb8d5	SRR11798428	SRR11798428_LB	ILLUMINA	10X3v2	NextSeq500	ND17494	NB502093:58:HHTKJBGXB:2
b955ed2b-f664-41f4-a6d4-d597ff7cea11	SRR11798355	SRR11798355_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:2
275890a5-bcdc-485d-86e2-275e28d9b2e3	SRR11798304	SRR11798304_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:1
