Subdirectory	RGPU
a1ddc914-ffb5-4e43-bc0c-130b88f20aee	Run0246_AC48UDACXX_L4
f46e6195-e5dc-48ef-b590-a51bb6988aa6	Run0290_AC699YACXX_L3
82a6f41f-326a-4bfc-9e8a-d512c7c35cb3	Run0246_AC48UDACXX_L4
6b1892e0-a9ab-4560-98d3-c92fc30f15e8	Run0253_BC4H6AACXX_L2
3ec25b15-0979-4024-a633-7d1a1d5d406c	Run0221_BC3H8JACXX_L6
a3702420-dd4d-4a44-8bbe-7637103597f2	Run0248_AC4D43ACXX_L6
a8dd31a5-24a7-4d6e-9e66-910cc8b940ce	Run0229_BC3N7TACXX_L2
fbe2c87e-8141-4dac-b352-9723f38f33da	Run0292_AC699LACXX_L3
5c068cf8-9ca7-4e6f-9254-9a7f9e5850e1	Run0290_AC699YACXX_L5
21a6d4ee-ee83-4e0a-a7f1-96e640dfe084	Run0247_BC4972ACXX_L5
5cdf9c5d-f08c-4c8e-8b40-f2e256c19d36	Run0257_BC53U3ACXX_L6
78fa3310-1741-4676-ba85-7f713a75d24e	Run0247_BC4972ACXX_L2
8558770e-ed53-444e-b2a7-fe1c50e8acd5	Run0253_BC4H6AACXX_L4
d8344d3f-d708-438c-ac7f-2340eaad76cd	Run0253_BC4H6AACXX_L4
b4ee3da2-135b-41c1-98d6-5902fae95e68	Run0288_AC698EACXX_L2
ec0dd9a3-4052-40d6-87d4-4ba8a805d0f5	Run0231_AC3NBVACXX_L6
91130b07-0a0d-402a-9da3-d6b7a97c4efd	Run0257_BC53U3ACXX_L6
d1a26136-bdf7-46a0-a39b-d91182e0cbe5	Run0248_AC4D43ACXX_L2
dd756d99-1c54-416e-88cb-6fefabfdd84e	Run0208_AC2LDDACXX_L4
953614e0-a299-4e0c-ad1a-683457922b2f	Run0253_BC4H6AACXX_L3
e7e1f639-d4a9-4b54-a2b6-cd69c55d4a28	Run0247_BC4972ACXX_L6
2ff1d00b-8199-446f-bf06-49b6ca9a2241	Run0231_AC3NBVACXX_L6
6778d955-1510-43c8-b83b-4515adbdbd10	Run0253_BC4H6AACXX_L2
2e96437c-469a-495b-8212-739a501c5766	Run0246_AC48UDACXX_L4
ee6a3ec4-2135-4911-948d-33de1553041a	Run0208_AC2LDDACXX_L3
e34aa069-cb69-4a0b-a7aa-02814534c92a	Run0343_AC87WGACXX_L5
3e76207b-7c7a-4195-8c2a-81da049ec983	Run0231_AC3NBVACXX_L7
49c61ff5-01ef-4f53-a2a7-33b9ede7ac55	Run0343_AC87WGACXX_L5
fea54106-63fd-42c1-87a4-6be3cda3c0dc	Run0288_AC698EACXX_L2
ac692348-0057-49d3-b99a-450fe3dabeae	Run0253_BC4H6AACXX_L7
0f1334ee-82f3-427a-9658-19ccd033d8e6	Run0231_AC3NBVACXX_L5
7d9b13ee-f9f0-4329-a721-f9ecc4ecea13	Run0253_BC4H6AACXX_L4
2ab65fdd-c688-47c7-bb52-5ab3c728a2b8	Run0247_BC4972ACXX_L3
79cc80a9-24b1-473c-9327-de26084dc6e8	Run0256_AC53WMACXX_L8
c546dc98-8bc0-468b-bf3a-77ae68ae904f	Run0343_AC87WGACXX_L5
e964b57b-1fb9-48a6-9a50-2b05a5603909	Run0247_BC4972ACXX_L7
8a2e99be-cd25-418c-836b-230d288eef50	Run0231_AC3NBVACXX_L7
5ddaf9c5-7a35-4903-9b04-f65594a10b98	Run0248_AC4D43ACXX_L3
b4c8f3f7-43b6-446f-9708-53205cf6abe5	Run0231_AC3NBVACXX_L7
39bd265b-377b-495c-bf68-7e06b958f901	Run0247_BC4972ACXX_L7
acdb47cc-5c51-49a2-890f-d2a9dda8a8fd	Run0290_AC699YACXX_L5
36ead3f3-d103-4573-a2d6-c8c4e336f84b	Run0224_AC3JF3ACXX_L1
7b736ddc-3b73-4868-be25-b7327847e11c	Run0248_AC4D43ACXX_L5
c5cb6d15-ad65-451c-9581-ae673e158df8	Run0247_BC4972ACXX_L2
a82a0407-471b-4ab1-986b-6ff265624189	Run0246_AC48UDACXX_L6
176f76b8-af87-4a89-8e12-f6f5022e7397	Run0224_AC3JF3ACXX_L5
9b474cb1-39ca-4825-bea0-a52719e3e347	Run0247_BC4972ACXX_L7
47980ba8-9f70-4ff4-8b0f-a99105fd9b70	Run0247_BC4972ACXX_L6
d55957a2-f79e-44e5-bb00-9c9771ab182c	Run0253_BC4H6AACXX_L8
819a878c-83b7-4930-b047-c8a4d8ab438a	Run0253_BC4H6AACXX_L7
3abe37ff-0a0c-42c5-a8f8-4a68aba607c2	Run0292_AC699LACXX_L4
b0d01c6b-4b29-406b-ba7b-648e81b2a8e5	Run0248_AC4D43ACXX_L7
0f12e670-e315-4254-8c58-70dfedf7ba9c	Run0343_AC87WGACXX_L4
9f4c6e77-e658-4561-9f4a-f861332e562d	Run0208_AC2LDDACXX_L3
98d64e85-7e04-48c9-898e-d41b596213ad	Run0231_AC3NBVACXX_L6
1618f49f-25a8-47e0-ba7c-b821ee4ea141	Run0343_AC87WGACXX_L5
1f44fb81-ef91-43ce-acd1-14a56fab0a00	Run0215_BC2NRKACXX_L7
c904bf60-5272-4d13-9f96-fe5e8acef1d6	Run0257_BC53U3ACXX_L7
b1e46353-56aa-42ad-a576-10f6fb5b22a6	Run0248_AC4D43ACXX_L3
ab79c1ef-3428-4850-ae3a-08e68e2c8611	Run0256_AC53WMACXX_L7
a17737e7-5116-4a8f-801d-79d94ed2397f	Run0248_AC4D43ACXX_L2
b4a4b632-2e6d-493f-ba20-729078b386c5	Run0246_AC48UDACXX_L5
e0629ecc-316b-4927-8898-e761a2a667f4	Run0223_BC3JDHACXX_L1
35510783-8eee-457c-94fd-19ceef5779b6	Run0247_BC4972ACXX_L1
544bafee-dbd7-4982-b006-b5f5cf38fac8	Run0221_BC3H8JACXX_L6
b68e4878-9d7d-4b87-944f-67a490530500	Run0292_AC699LACXX_L3
809eebef-6ea5-47ad-abdf-cac9c4382fe4	Run0253_BC4H6AACXX_L6
e2d7788e-4599-449a-99b5-a3e5898e9876	Run0253_BC4H6AACXX_L4
50312c94-6ba6-446b-b01f-480994939d43	Run0247_BC4972ACXX_L2
d38c8812-deec-4a5b-a9d9-4cbcaa791011	Run0248_AC4D43ACXX_L3
2473bf03-5d10-479c-b50c-6e0cd5befa42	Run0215_BC2NRKACXX_L7
bac1d2fd-d513-4e6c-bcc3-86cc5bf87ba9	Run0290_AC699YACXX_L5
83aeff0a-7a29-456d-9ff9-3816018b79de	Run0248_AC4D43ACXX_L2
a8bf10cf-637c-4fc2-b04e-8f3b8b28640d	Run0290_AC699YACXX_L5
5af73f5e-d85b-426a-97ee-2158cd0f7843	Run0196_AC23BRACXX_L5
e539c03c-a76b-4db2-be4a-f00e7b2c0efe	Run0253_BC4H6AACXX_L2
38e5ad86-b69f-4c0f-9a62-623444c7ab1a	Run0247_BC4972ACXX_L6
edfcc699-9f0e-4dd5-834e-603e28796663	Run0292_AC699LACXX_L3
1f8b1aa7-1ccd-4224-a797-7f394e4ba95d	Run0256_AC53WMACXX_L8
bedabe16-fbfa-4707-b0d0-431b1bd4f1b9	Run0253_BC4H6AACXX_L4
b429d239-6454-4e1b-b347-dc289fb5481e	Run0221_BC3H8JACXX_L6
8fb78c99-704e-4a84-ae2b-016559f35dd3	Run0223_BC3JDHACXX_L1
0d2336f5-954a-44d9-9bc6-2f1a03ab51ea	Run0247_BC4972ACXX_L4
ad6bfb6a-72e7-4142-abd7-1ae2b210acdd	Run0290_AC699YACXX_L3
c362cec3-8a57-4fcc-90e7-2a03ca7a733d	Run0231_AC3NBVACXX_L8
c7006888-c508-4a08-a0f3-56355530269e	Run0224_AC3JF3ACXX_L4
872c96bc-63b1-4546-9882-7463a8ca406b	Run0208_AC2LDDACXX_L3
49f44f57-ac24-4b87-a3e7-225a570cbb32	Run0224_AC3JF3ACXX_L3
7cb1c6a2-4a4c-4e4b-a610-ce69784b056a	Run0290_AC699YACXX_L5
730c3dea-8b15-436b-abfe-7ec3c82afe42	Run0223_BC3JDHACXX_L1
d8d8ee5c-7b0f-409b-b11d-e7c5df9002ac	Run0253_BC4H6AACXX_L2
ec02993a-3c08-4004-8a7e-1413e2dff000	Run0253_BC4H6AACXX_L7
df028d09-ea3b-4e1a-b95e-0fbeca8d22d3	Run0247_BC4972ACXX_L2
9637b0e7-6908-4c2e-9faa-2d5449177eff	Run0215_BC2NRKACXX_L7
fb48523e-5ca9-42d3-899d-e53ea0f5f493	Run0257_BC53U3ACXX_L6
