folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
a1ddc914-ffb5-4e43-bc0c-130b88f20aee	E5.7.700.fastq.gz	E5.7.700.step1.Aligned.sortedByCoord.out.bam	E5.7.700	E5.7.700	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
f46e6195-e5dc-48ef-b590-a51bb6988aa6	E5.37.3243.fastq.gz	E5.37.3243.step1.Aligned.sortedByCoord.out.bam	E5.37.3243	E5.37.3243	illumina	E5.37	Smart-seq2	inner-cell-mass-cell	Run0290_AC699YACXX_L3
82a6f41f-326a-4bfc-9e8a-d512c7c35cb3	E5.7.697.fastq.gz	E5.7.697.step1.Aligned.sortedByCoord.out.bam	E5.7.697	E5.7.697	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
6b1892e0-a9ab-4560-98d3-c92fc30f15e8	E7.16.1153.fastq.gz	E7.16.1153.step1.Aligned.sortedByCoord.out.bam	E7.16.1153	E7.16.1153	illumina	E7.16	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L2
3ec25b15-0979-4024-a633-7d1a1d5d406c	E7.4.196.fastq.gz	E7.4.196.step1.Aligned.sortedByCoord.out.bam	E7.4.196	E7.4.196	illumina	E7.4	Smart-seq2	embryonic-cell-metazoa	Run0221_BC3H8JACXX_L6
a3702420-dd4d-4a44-8bbe-7637103597f2	E6.12.1276.fastq.gz	E6.12.1276.step1.Aligned.sortedByCoord.out.bam	E6.12.1276	E6.12.1276	illumina	E6.12	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L6
a8dd31a5-24a7-4d6e-9e66-910cc8b940ce	E3.4.463.fastq.gz	E3.4.463.step1.Aligned.sortedByCoord.out.bam	E3.4.463	E3.4.463	illumina	E3.4	Smart-seq2	embryonic-cell-metazoa	Run0229_BC3N7TACXX_L2
fbe2c87e-8141-4dac-b352-9723f38f33da	E5.41.3310.fastq.gz	E5.41.3310.step1.Aligned.sortedByCoord.out.bam	E5.41.3310	E5.41.3310	illumina	E5.41	Smart-seq2	inner-cell-mass-cell	Run0292_AC699LACXX_L3
5c068cf8-9ca7-4e6f-9254-9a7f9e5850e1	E5.40.3292.fastq.gz	E5.40.3292.step1.Aligned.sortedByCoord.out.bam	E5.40.3292	E5.40.3292	illumina	E5.40	Smart-seq2	inner-cell-mass-cell	Run0290_AC699YACXX_L5
21a6d4ee-ee83-4e0a-a7f1-96e640dfe084	E7.12.875.fastq.gz	E7.12.875.step1.Aligned.sortedByCoord.out.bam	E7.12.875	E7.12.875	illumina	E7.12	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L5
5cdf9c5d-f08c-4c8e-8b40-f2e256c19d36	E6.18.1645.fastq.gz	E6.18.1645.step1.Aligned.sortedByCoord.out.bam	E6.18.1645	E6.18.1645	illumina	E6.18	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L6
